Slug,Country_Code,Property_Type_Categories,Review_score_base,Review_Score,USD_Price,Partner,Published
golden-tower-hotel-spa,it,Hotel,10,9.0,209,booking.com,True
palazzo-niccolini-al-duomo,it,Hotel,10,9.3,205,booking.com,True
hotel-raffaello,it,Hotel,10,8.1,155,booking.com,True
numa-l-rodo-rooms-apartments,it,Hotel,10,8.7,88,booking.com,True
hotel-rosso23-wtb-hotels,it,Hotel,10,8.6,118,booking.com,True
nova-plaza-prime-hotel,tr,Hotel,10,8.7,123,booking.com,True
eurostars-florence-boutique,it,Hotel,10,8.2,93,booking.com,True
miramar-by-windsor-copacabana,br,Hotel,10,9.2,157,booking.com,True
hotel-astoria-copacabana,br,Hotel,10,8.0,47,booking.com,True
hotel-canada,br,Hotel,10,8.1,84,booking.com,True
janeiro-hotel,br,Hotel,10,9.1,496,booking.com,True
helvetia-bristol-firenze-starhotels-collezione,it,Hotel,10,9.1,311,booking.com,True
hotel-torre-guelfa-palazzo-acciaiuoli,it,Hotel,10,8.1,123,booking.com,True
hotel-st-james,it,Hotel,10,7.8,64,booking.com,True
best-western-london-highbury,gb,Hotel,10,7.7,73,booking.com,True
nox-west-hampstead,gb,Hotel,10,8.1,108,booking.com,True
twin-towers-hotel,th,Hotel,10,7.4,70,booking.com,True
novotel-bangkok-on-siam-square-sha-extra-plus-certified,th,Hotel,10,7.4,103,booking.com,True
hampton-inn-suites-by-hilton-vancouver-downtown,ca,Hotel,10,8.2,131,booking.com,True
holiday-inn-vancouver-downtown-suites-an-ihg-hotel,ca,Hotel,10,7.8,125,booking.com,True
bangkok-hotel-lotus-sukhumvit-by-compass-hospitality,th,Hotel,10,7.9,66,booking.com,True
princeton-bangkok,th,Hotel,10,7.6,33,booking.com,True
hilton-reykjavik-nordica,is,Hotel,10,8.1,193,booking.com,True
ramada-by-wyndham-d-ma-bangkok,th,Hotel,10,5.9,63,booking.com,True
the-maruay-garden-hotel,th,Hotel,10,7.6,54,booking.com,True
element-las-vegas-summerlin,us,Hotel,10,6.7,159,booking.com,False
courtyard-by-marriott-orlando-lake-buena-vista-in-the-marriott-village,us,Hotel,10,8.0,110,booking.com,True
the-ritz-carlton-istanbul-at-the-bosphorus,tr,Hotel,10,8.8,294,booking.com,True
pestana-buenos-aires,ar,Hotel,10,8.1,122,booking.com,True
catalonia-vondel-amsterdam,nl,Hotel,10,7.9,107,booking.com,True
a-one-bangkok-hotel,th,Hotel,10,7.3,76,booking.com,True
ramada-by-wyndham-istanbul-taksim,tr,Hotel,10,8.0,118,booking.com,True
